Actual,Predicted,BLEU Score
"Arsenal take on Stoke City in Barclays Under 21 Premier League clash Jack Wilshere and club captain Mikel Arteta have been out since November Abou Diaby has been ravaged by injuries during nine-year spell at club Arteta, Wilshere and Diaby are all close to first-team returns Young winger Serge Gnabry also in the side on return from injury READ: Arsenal's Alex Oxlade-Chamberlain, Calum Chambers, Jack Wilshere and Danny Welbeck keep their agents close CLICK HERE for all the latest Arsenal news ","Arsenal's Under 21sArsenal player of the year award in DecemberWilshere has been a key part of the squad for the last two seasons, but has struggled to find the net this seasona hamstring injury and has been out for the last two weeksWilshere has been a key part of the side that won the league title last season",1.0309964493856291e-231
"Prasanna Arulchelvam leapt into van as it sped away but was pushed out His head hit the ground with a 'nasty crunch' and he died 11 days later A gang tried to steal cigarettes from the victim's van before he gave chase All three have now been jailed, including the man who pushed Mr Prasanna ","Nick’ Arulchelvam was a shopkeeper at the store in Watfordsat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he sat down and he satMr Prasanna was pronounced dead at the scenePatrick O’Driscoll’s arrestMichael McInerney, who was a member of the gang, was a'very good man' and 'a very good man'McInerney to a sex slaverobbery and conspiracy to rob were rejectedMcInerney’s car to the Sheerness areaChelmsford, Chelmsford, Colchester and IpswichUday Prasanna, who was also a Tesco managerThe couple, who had been married for five years, had been living together in a flat in Watford for a year",4.762015291840081e-232
"Smoke from massive fires in Siberia created fiery sunsets in the Pacific Northwest Atmospheric winds carried smoke from the wildfires across the Pacific Ocean Smoke particles altered wavelengths from the sun, creating a more intense color ","Siberia, where the fires are a result of a droughtPacific Ocean, causing the fires to spread to the United StatesraysThe smoke will be a lot less visible",1.202084411565056e-231
"Scientists say camel was left in Tulln after the 1683 siege of Vienna It would have shocked residents as camels were an alien species 'They didn't know what to feed it or whether one could eat it,' study said Ottoman army used camels for transportation and as riding animals ","Austrian historians for years, but this is the first time they have found a camel skeleton in the countryThe Telegraph reportssex animalGerman Nation'saved' camel was a cross-breed camel that was bred in the Ottoman Empire during the 1683 Siege of ViennaTulln's firstcamels as a means of transportOttoman Empire was a significant part of the battle's successwas a 'Viennese camel'The dog was a 'Bactrian-dromedary hybrid' – a breed popular in the Ottoman army at the time",9.89575788250089e-232
"Ben Affleck admits he asked PBS show ""Finding Your Roots"" to avoid mentioning his slave-owning ancestor Dean Obeidallah says the actor and the show were right to leave the detail out ","Ben Affleck saidAffleck's own family, and the show's producer didn't seem to mindAffleckAffleck's viewsPBS's own archivesLynton was a spokesman for the show, and he was not involved in the negotiationsAffleck's way in the Revolutionary WarAffleck was ""asshole"" and ""assholes"" are ""assholes""PBS's decision to leave out the information about Affleck's distant relative was a good oneYe",9.944394835064804e-232
"Mered Medhanie and Ermias Ghermay 'have made Â£72m in last two years'Medhanie heard on police wiretap mocking the fatal overcrowding of ships Ghermay reportedly said: 'I don't know what happened, they probably died'Pair wanted over major smuggling ring, but are hiding in lawless Libya ","Mediterranean boatsGhermay to the sands of the Mediterranean and he dragged me to the shores of the MediterraneanItalian prosecutors' search for himLibyan government in 2011Italian job,' he saidUAE''swimming' in the Mediterranean as they wait for their boat to dock in SicilyAfricaItaly was about 50,000 eurosadvi is a slang term used by the migrant traffickers to describe the people who are smuggled into the countryMediterranean coastTunisian boat captain was arrestedPortugal of ignoring the ship's distress signal and ignoring the crew's pleas for helpEgypt on Friday morning and was spotted by a passing schooner on the coast of LibyaThe ship was carrying a crew of five, including a crew of four Italians",8.927644485251597e-232
"Beatrice seen watching race on terrace with the Gulf state's Crown Prince Marks 13th holiday since November last year, and fourth in a month Princess quit her job at Sony Pictures in New York before Christmas Despite that she isÂ describedÂ as working full-time on her father's website ","Beatrice has been a vocal critic of for yearsBernie Ecclestone has been accused of repressing pro-democracy activists in BahrainBah Tower, he said: ‘It’s a very unusual sightBeatrice was spotted in the Gulf state in DecemberAir MilesBeatrice is not a full-time employeeBeatri was spotted in the middle of the race, a few laps from the finish line, with her father, who was also in the race, congratulating herYo, the tiger-striped tiger, is the smallest of the three tigersBeatrice has been spotted in the city on a number of occasions since the start of the yearBeatrice has been spotted in the country for the first time since her retirement from SonyBeatrice, who is a spokesman for the Duke of York, has been a regular visitor to the Middle East for the past two yearsBeatrice's parents are a family of five and have been married for a decadeSonyVerde, where she was reunited with her family and friendsCol in SwitzerlandEugenieFormula 1 titlee race from a platform suspended above the track",8.354408800757148e-232
"Justice Dept sent 7-page letter to House Speaker John Boehner explaining why the former IRS official was allowed to plead the Fifth Amendment Federal prosecutor in charge of the case sent his decision to Capitol Hill on the last day before his own resignation took effect Lerner offered a self-serving opening statement during a 2013 hearing, but refused to take questions even though she was under subpoena Hearing focused on the IRS's habit of targeting conservative groups with special scrutiny based on words like 'patriots' or 'tea party' in their names The DOJ says she can't be prosecuted for defying the subpoena 'because she made only general claims of innocence' and offered few details ","Boehner's officeGOP requests for documentsObama's second day in officeHouse majority leader, was adamant that the case should be referred to the Justice DepartmentCongress's request for a retrialLerner, who was a member of the House panel that investigated the alleged bribery, has been a vocal critic of the Justice Department's handling of the investigationBoehner's 'disgust' at the IRS's 'incompetence'Republican PartyRepublican's resignation, is now a Republican foe of the IRS's LernerHouse majority leader, Rep'to prosecute the IRS for its 'incidental' targeting of Americans based on their political beliefs'Lois Lerner's attorney, William Taylor, said in a statement that his client 'looks forward to moving on with her life'",8.910388318335387e-232
Obama's point man in ISIS fight doesn't rule out US military action beyond Iraq and Syria Brett McGurk: Iraqi leader making progress with Sunni tribes in planned Anbar offensive ,"ISIS has sent the United States into uncharted territory,"" McGurk saidSyriaUS-led coalitions,"" he saidIraq's efforts to fight ISISISIS propaganda, and they've been able to get it to the people of Iraq,"" he saidISIS is, and they're learning that they're not going to get a slave bride, and they're going to get killed""""I think we're going to see those networks begin to dry up,"" he said",9.782067060059604e-232
Farage claims PM has been secretly using hair dye to turn back the years He said: 'Any man who can reverse the greying process Iâ€™m jealous of'The PM has been accused of visiting stylists to keep hair looking youthful ,"Ukip leader Nigel Farage 'jealous' of how the PM has reversed the greying processDavid Lloyd George to get his hair doneCameron was a ‘doctor’, Mr Farage said: ‘I think he is’David Cameron has said he is not worried about going grey",1.1665476391565249e-231
"Bomb expert David Hyche created the eggs when his daughter turned blind The children follow sound of a beeper in a plastic egg, trade it for candy He has now passed on the idea to Alabama Institute for Deaf and Blind ",Alabama are able to find the eggs by putting a transmitter inside the eggsBomb expert's device'several' children with disabilitiesThe Alabama Institute for the Deaf and Blind (AIDB) is a nonprofit organization that provides services to the blind and deaf in the state of Alabama,1.0611691581794997e-231
"David Messerschmitt, 30, who met his wife in college, had been using Craigslist to solicit men, according to an affidavit on Tuesday Jamyra Gallmon, 21, 'contacted victim using a masculine-sounding email address and went to hotel with the intention of robbing him'The pair got into a struggle on February 9 and she stabbed him repeatedly in the abdomen, back and groin The lawyer was found dead at the upscale Washington DC hotel after being reported missing by his wife Gallmon made an initial appearance on the murder charge Superior Court in DC on Thursday ","David Messerschmitt, who was married to his wife, was a'serious' man, and he was a'very good guy', the prosecutor saidDavid Messerschmitt's room, she allegedly stabbed him in the head with a kitchen knifegroins, a cigarette lighter and a cigarette lighterCraigslist was 'dcguy456'cited a 'dcguy456' profile on Craigslist as a possible link to the murderFacebook'kill''sleepless' for more than a weekJamyra Gallmon was a'suspicious' woman who had been'suspicious' of Messerschmitt for a whileGallmon spokesmanDavid Messerchmitt was a graduate of the University of Cincinnati Law SchoolGallmon, who was arrested on suspicion of murder, was released on a $20,000 bond",9.025708466488877e-232
"Serial killer Peter Sutcliffe, 68, was jailed for life for murdering 13 women Held at Broadmoor since being diagnosed with paranoid schizophrenia He is now being considered for a move to the low-security Priory unit ","Priory unitJack the Ripper be moved to a new prisonslang to describe himself as a'savage', was 'assassinated' by a prison officerBroadmoor's'sexy' showers– has been released by the hospitalBroadmoor is a secludedBroadmoor is a'very special place' for Sutcliffe, who has been a resident for more than a decadeBroadmoor's 210 beds is a 'complex' mix of low and medium secure beds, with a mix of low and medium secure beds'serious'YorkshireBroadmoor staff, who have been'very frightened' of himBroadmoor is the largest prison in the UK and the largest in the world for a male inmateThe Priory has been criticised for its lack of transparency and for its failure to provide a clear explanation for the move",8.844844403089351e-232
"ISIS has announced that all nurses working for them must speak English Rule was one of the entry requirements for a new nursing school in Raqqa NHS has also attempted to introduce English language checks for nurses But despite the law being approved, a lengthyÂ consultation process means EU-trained nurses are still being employed without English tests ","English teachersNHS nurse to be trained in the UK are still being kept secretIslamic medical exam and have a minimum of a 'B' grade in a medical examBritain being a member of the European UnionEnglish language training period before they can work in the countryRaqqa school will be able to work for the terrorist organisation after graduation'said to be 'the first of its kind', was aired on the network's websiteItalianNHS England has said it will be introducing it in the coming monthsEnglish levelThey are el for their job",9.449621140071271e-232
Kevin Streelman beat Camilo Villegas on third play-off hole at Augusta Tiger Woods played in the par-three contest for the first time since 2004 Jack Nicklaus recorded his first ever hole-in-one at the Masters ,"Kevin Streelman won the Par-3 Contest on a play-off against Camilo Villegas on WednesdayMasters, but Streelman's victory was a surpriseteeAugusta National standTiger Woods to win the tournamentJack Nicklaus (centre) with Ben Crenshaw (right) and Gary Player (left)Horan said after the incidentRory McIlroy is a big fan of the 'Storm' singer and has been a fan of the band for years",1.0680220229737678e-231
"Boy, five, pelts police with stones as Palestinian protesters clash with Israeli police on the northern West Bank Violence erupted after more than 100 demonstrators took part in a rally to mark Palestinian Prisoners Day Israel has arrested around 800,000 Palestinians in the occupied territories since 1967 with 6,000 currently being held ",Israeli's attempts to stop themgrenades to disperse the crowdsPalestinians are not free'Palestinians againPalestinian Prisoners Day protestsThe protesters were reportedly chanting'israel israel'and'israel israel'as they walked away from the scene,1.0286308587733217e-231
Fulham 2-2 Wigan Athletic: CLICK HERE to read the match report Latics came from behind twice to stun the Cottagers Gary Caldwell admitted his first taste of management was 'crazy',Ross McCormack's goal was the only goal of the gameJermaine Pennant and the teamWigan manager Gary Caldwell says he is'very proud' of his players' performanceCaldwell has been sacked by the club after a run of six games without a winWigan's goal in the second halfWiganI'm going to be tired,1.0581258127913409e-231
Melbourne penthouse apartment was sold to Chinese businessman for $25 million Penthouse is in Australia 108 development at Melbourne's Southbank The 750 square metre apartment is spread across entire 100th floor of super skyscraper The building will be 319 metres tall - the highest in the southern hemisphere Construction has started on the building and is due to be complete in 2019 ,"Australia 108, who is also the owner of the Melbourne's tallest building, said he was'very happy' to have the apartmentMelbourne apartment is spread across the entire 100th floor of Australia 108 complexMelbourne's first skytrain stationMelbourne's CBDCBRE managing director of residential prAustralia 108, which is a penthouse apartment with a view of the citySydney's skyline and the bayAustralia 108 will be the tallest residential building in the worldEureka by a few metres, the Q1 Gold Coast building is the highest in Australiasydney's tallest building",9.363140134330432e-232
"Jet Set Candy's Marry British Royalty Spinner Charm comes in 14K gold vermeil and sterling silver and retails for $198 and $148, respectively ",British royals to choose fromJet Set Candy's Marry British Royalty Spinner Charm comes in 14K gold vermeil and sterling silver and retails for $198Prince Harry is listed as the only maleLondon charms and a 'destination' braceleta gold or silver finishNew YorkerKate's favourite)The London Is My Cup Of Tea Charm (R) is available for $128,1.1133335915659798e-231
"Pit crew member Todd Phillips was hit by a car on Sunday during the inaugural IndyCar Grand Prix of Louisiana HeÂ wasÂ injuredÂ when he was struck by the car of Francesco Dracone, who hadÂ come in on Lap 25 for tires and fuel Phillips received stitches for a cut on his leg and has been released Dracone did not finish the race and wound up 23rd ",Dale Coyne Racing team chief mechanic Todd Phillips was hit by a car during Sunday's Indy Grand Prix of LouisianaFrancesco DraconeTodd Phillips as he was flagged down by a driverGrand PrixPhillips said: 'It's a freak accident,1.1522277201606316e-231
Photos taken for BBC show Being Human see Aidan Turner with a full 'rug'but his chest hair in Poldark's shirtless scenes looks distinctly pruned Fans take to Twitter to comment on new Poldark male grooming debate Aidan admits he uses baby oil to make his muscles look good in the series ,"Poldark fans will be pleased to know that Aidan's chest hair has been shaved offAidan Turner, who has admitted to using baby oil to show off his physique to maximum effect, has admitted to using baby oil to show off his once-hairy chest in favour of a less hirsute lookPoldark's chest hair offTwitter users have also weighed in with their own opinionsPoldark'The actor, who has a'strange' past, has been a regular on the set of the show since its inception in 2005",9.478695189144517e-232
Miliband overtakes David Cameron as the most popular political leader It is the first time that Labour leader has been ahead in approval ratings Labour Party has also taken a commanding four point lead over the Tories ,"David Cameron has a commanding four point lead over the Labour Party with just 28 days until polling dayLabour are now a clear favourite to win the election, with a majority of 65% in the pollLabour has had since the 2010 general electionLabour has a four-point lead over the Tories in the poll– or a tenth – of support for the ideantage point lead over the Conservatives",1.0306489029181029e-231
"#a**holeparents is a hashtag on Instagram to expose 'flawed parenting'Parents posts pictures of their children crying with the hashtag Children are shown crying because they are being fed and cleaned 'I wouldn't let her have a knife,' captioned one snap of a child sobbing The hashtag has almost 4000 posts from parents all over the world ","'awful' things parents do to their childrenTwitter posteat the bubble solution, therefore I'm an #a**holeparent,' wrote oneTwitter user posted a picture of their child crying, 'It's a poop ball,' and a picture of their child'stuck in a poop bag''t,' another parent wrotesat in his highchair and read while I swept up the food on the floor,' one parent captioned the imagei'm a fucking a**hole",9.418382295637229e-232
Cro Cop enjoyed revenge with third round knockoutÂ in Krakow Referee stepped in after Filipovic droppedÂ Gabriel Gonzaga to floor Jimi Manuwa made successful return by outpointing Jan Blachowicz ,"Filipovic to the canvasUFC 196Manuwa fought back to win the bout with a second-round stoppagefence against the defending champion, and a tense finish against the Polish opponentMaryna Moroz won the title with a second-round stoppage of Marcin Bandel",1.1155152141764972e-231
James Corden shared the picture on Thursday via Twitter Corden is currently in America filmingÂ late-night talk show Late Late David Beckham was a guest on the 36-year-old's show last month ,"England heritage, have been a huge success in the NFLDavid Beckham has a history of snubbing, the former England captain said: 'It's not about the date, it's about the relationship'David Beckham was a celebritysushi, she's going to eat it with meBeckham's son Brooklyn is looking to follow in his father's footsteps by becoming a professional footballerThe defender was a key part of the team's comeback against the Cowboys, and he has been a key part of the team's success since",9.47199491636525e-232
